Delta_Sector_ID,Delta_Sector,SOC_Code,SOC_Title,Employment_Thousands,Staffing_Share_Pct
1,Finance & Financial Services,15-1251,Computer programmers,7.1,0.11
1,Finance & Financial Services,43-9051,"Mail clerks and mail machine operators, except postal service",6.9,0.1
1,Finance & Financial Services,15-1255,Web and digital interface designers,6.7,0.1
1,Finance & Financial Services,43-4071,File clerks,6.5,0.1
1,Finance & Financial Services,37-2011,"Janitors and cleaners, except maids and housekeeping cleaners",6.4,0.1
1,Finance & Financial Services,21-1022,Healthcare social workers,6.1,0.09
1,Finance & Financial Services,13-2020,Property appraisers and assessors,5.5,0.08
1,Finance & Financial Services,43-3051,Payroll and timekeeping clerks,5.3,0.08
1,Finance & Financial Services,11-2032,Public relations managers,5.1,0.08
1,Finance & Financial Services,33-9021,Private detectives and investigators,5.0,0.08
1,Finance & Financial Services,41-9041,Telemarketers,4.8,0.07
1,Finance & Financial Services,11-3131,Training and development managers,4.6,0.07
1,Finance & Financial Services,41-1011,First-line supervisors of retail sales workers,4.6,0.07
1,Finance & Financial Services,27-1024,Graphic designers,4.4,0.07
1,Finance & Financial Services,43-4161,"Human resources assistants, except payroll and timekeeping",4.3,0.06
1,Finance & Financial Services,15-1254,Web developers,4.2,0.06
1,Finance & Financial Services,11-3013,Facilities managers,4.0,0.06
1,Finance & Financial Services,11-3111,Compensation and benefits managers,4.0,0.06
1,Finance & Financial Services,43-4041,"Credit authorizers, checkers, and clerks",4.0,0.06
1,Finance & Financial Services,13-2071,Credit counselors,3.8,0.06
1,Finance & Financial Services,41-2011,Cashiers,3.7,0.06
1,Finance & Financial Services,33-9032,Security guards,3.6,0.05
1,Finance & Financial Services,43-5061,"Production, planning, and expediting clerks",3.6,0.05
1,Finance & Financial Services,21-1091,Health education specialists,3.5,0.05
1,Finance & Financial Services,13-1121,"Meeting, convention, and event planners",3.5,0.05
1,Finance & Financial Services,29-1171,Nurse practitioners,3.3,0.05
1,Finance & Financial Services,21-1094,Community health workers,3.1,0.05
