Function_ID,Function_Name,SOC_Code,Delta_Sector_ID,Delta_Sector,Employment_Thousands
2,Finance Accounting & FP&A,13-2051,2,Technology & Software,20.7
2,Finance Accounting & FP&A,13-2051,3,Healthcare & Life Sciences,19.5
2,Finance Accounting & FP&A,13-2051,5,Management Consulting Firms,17.0
2,Finance Accounting & FP&A,13-2051,6,Accounting & Tax Firms,10.3
2,Finance Accounting & FP&A,13-2051,7,Advertising & PR Agencies,3.7
2,Finance Accounting & FP&A,13-2051,8,Staffing & Recruitment Agencies,3.7
2,Finance Accounting & FP&A,13-2051,9,Real Estate & Property,8.9
2,Finance Accounting & FP&A,13-2051,10,Education & Academia,4.0
2,Finance Accounting & FP&A,13-2051,11,Government & Public Administration,6.0
2,Finance Accounting & FP&A,13-2051,12,Media Publishing & Entertainment,1.8
2,Finance Accounting & FP&A,13-2051,13,Energy & Utilities,2.7
2,Finance Accounting & FP&A,13-2051,14,Architecture & Engineering Firms,5.5
2,Finance Accounting & FP&A,13-2051,15,Manufacturing,10.8
2,Finance Accounting & FP&A,13-2051,16,Retail Trade,0.3
2,Finance Accounting & FP&A,13-2051,17,Construction,1.9
2,Finance Accounting & FP&A,13-2051,18,Transportation & Warehousing,1.9
2,Finance Accounting & FP&A,13-2051,19,Wholesale Trade,6.1
2,Finance Accounting & FP&A,13-2051,20,Accommodation & Food Services,0.7
2,Finance Accounting & FP&A,13-2061,1,Finance & Financial Services,39.6
2,Finance Accounting & FP&A,13-2061,2,Technology & Software,0.5
2,Finance Accounting & FP&A,13-2061,3,Healthcare & Life Sciences,0.5
2,Finance Accounting & FP&A,13-2061,4,Law Firms & Legal Services,0.4
2,Finance Accounting & FP&A,13-2061,5,Management Consulting Firms,0.3
2,Finance Accounting & FP&A,13-2061,6,Accounting & Tax Firms,0.7
2,Finance Accounting & FP&A,13-2061,8,Staffing & Recruitment Agencies,0.1
2,Finance Accounting & FP&A,13-2061,10,Education & Academia,0.1
2,Finance Accounting & FP&A,13-2061,11,Government & Public Administration,12.9
2,Finance Accounting & FP&A,13-2082,1,Finance & Financial Services,0.5
2,Finance Accounting & FP&A,13-2082,2,Technology & Software,0.9
2,Finance Accounting & FP&A,13-2082,4,Law Firms & Legal Services,0.4
2,Finance Accounting & FP&A,13-2082,5,Management Consulting Firms,0.8
2,Finance Accounting & FP&A,13-2082,6,Accounting & Tax Firms,73.2
2,Finance Accounting & FP&A,13-2082,19,Wholesale Trade,0.1
2,Finance Accounting & FP&A,13-2041,1,Finance & Financial Services,49.4
2,Finance Accounting & FP&A,13-2041,2,Technology & Software,1.4
2,Finance Accounting & FP&A,13-2041,3,Healthcare & Life Sciences,0.1
2,Finance Accounting & FP&A,13-2041,5,Management Consulting Firms,0.2
2,Finance Accounting & FP&A,13-2041,6,Accounting & Tax Firms,0.2
2,Finance Accounting & FP&A,13-2041,7,Advertising & PR Agencies,0.3
2,Finance Accounting & FP&A,13-2041,8,Staffing & Recruitment Agencies,0.3
2,Finance Accounting & FP&A,13-2041,9,Real Estate & Property,0.1
2,Finance Accounting & FP&A,13-2041,11,Government & Public Administration,0.1
2,Finance Accounting & FP&A,13-2041,13,Energy & Utilities,0.1
2,Finance Accounting & FP&A,13-2041,14,Architecture & Engineering Firms,0.2
2,Finance Accounting & FP&A,13-2041,15,Manufacturing,0.6
2,Finance Accounting & FP&A,13-2041,16,Retail Trade,0.9
2,Finance Accounting & FP&A,13-2041,17,Construction,0.1
2,Finance Accounting & FP&A,13-2041,18,Transportation & Warehousing,0.2
2,Finance Accounting & FP&A,13-2041,19,Wholesale Trade,2.5
2,Finance Accounting & FP&A,13-2041,20,Accommodation & Food Services,0.1
3,Legal & Compliance,23-1011,1,Finance & Financial Services,38.2
3,Legal & Compliance,23-1011,2,Technology & Software,14.8
3,Legal & Compliance,23-1011,3,Healthcare & Life Sciences,9.9
3,Legal & Compliance,23-1011,4,Law Firms & Legal Services,443.3
3,Legal & Compliance,23-1011,5,Management Consulting Firms,6.0
3,Legal & Compliance,23-1011,6,Accounting & Tax Firms,2.2
3,Legal & Compliance,23-1011,7,Advertising & PR Agencies,4.5
3,Legal & Compliance,23-1011,9,Real Estate & Property,3.6
3,Legal & Compliance,23-1011,10,Education & Academia,2.7
3,Legal & Compliance,23-1011,11,Government & Public Administration,101.0
3,Legal & Compliance,23-1011,12,Media Publishing & Entertainment,2.4
3,Legal & Compliance,23-1011,13,Energy & Utilities,1.8
3,Legal & Compliance,23-1011,14,Architecture & Engineering Firms,2.9
3,Legal & Compliance,23-1011,15,Manufacturing,2.7
3,Legal & Compliance,23-1011,16,Retail Trade,0.5
3,Legal & Compliance,23-1011,17,Construction,2.0
3,Legal & Compliance,23-1011,18,Transportation & Warehousing,1.0
3,Legal & Compliance,23-1011,19,Wholesale Trade,4.2
3,Legal & Compliance,23-1011,20,Accommodation & Food Services,0.1
3,Legal & Compliance,23-1012,11,Government & Public Administration,8.1
3,Legal & Compliance,23-2011,1,Finance & Financial Services,12.6
3,Legal & Compliance,23-2011,2,Technology & Software,2.4
3,Legal & Compliance,23-2011,3,Healthcare & Life Sciences,2.1
3,Legal & Compliance,23-2011,4,Law Firms & Legal Services,280.2
3,Legal & Compliance,23-2011,5,Management Consulting Firms,1.6
3,Legal & Compliance,23-2011,7,Advertising & PR Agencies,0.2
3,Legal & Compliance,23-2011,8,Staffing & Recruitment Agencies,2.2
3,Legal & Compliance,23-2011,9,Real Estate & Property,1.2
3,Legal & Compliance,23-2011,10,Education & Academia,0.5
3,Legal & Compliance,23-2011,11,Government & Public Administration,31.2
3,Legal & Compliance,23-2011,12,Media Publishing & Entertainment,0.3
3,Legal & Compliance,23-2011,13,Energy & Utilities,0.3
3,Legal & Compliance,23-2011,14,Architecture & Engineering Firms,0.5
3,Legal & Compliance,23-2011,15,Manufacturing,0.2
3,Legal & Compliance,23-2011,17,Construction,0.6
3,Legal & Compliance,23-2011,18,Transportation & Warehousing,0.2
3,Legal & Compliance,23-2011,19,Wholesale Trade,0.6
3,Legal & Compliance,13-1041,1,Finance & Financial Services,50.6
3,Legal & Compliance,13-1041,2,Technology & Software,13.3
3,Legal & Compliance,13-1041,3,Healthcare & Life Sciences,45.2
3,Legal & Compliance,13-1041,4,Law Firms & Legal Services,1.7
3,Legal & Compliance,13-1041,5,Management Consulting Firms,10.2
3,Legal & Compliance,13-1041,6,Accounting & Tax Firms,2.6
3,Legal & Compliance,13-1041,7,Advertising & PR Agencies,2.6
3,Legal & Compliance,13-1041,8,Staffing & Recruitment Agencies,8.4
3,Legal & Compliance,13-1041,9,Real Estate & Property,6.5
3,Legal & Compliance,13-1041,10,Education & Academia,6.4
3,Legal & Compliance,13-1041,11,Government & Public Administration,118.6
3,Legal & Compliance,13-1041,12,Media Publishing & Entertainment,1.1
3,Legal & Compliance,13-1041,13,Energy & Utilities,4.9
3,Legal & Compliance,13-1041,14,Architecture & Engineering Firms,7.2
3,Legal & Compliance,13-1041,15,Manufacturing,13.3
3,Legal & Compliance,13-1041,16,Retail Trade,2.7
3,Legal & Compliance,13-1041,17,Construction,5.7
3,Legal & Compliance,13-1041,18,Transportation & Warehousing,12.9
3,Legal & Compliance,13-1041,19,Wholesale Trade,9.3
3,Legal & Compliance,13-1041,20,Accommodation & Food Services,1.3
4,Human Resources & People Ops,11-3121,1,Finance & Financial Services,17.7
4,Human Resources & People Ops,11-3121,2,Technology & Software,16.6
4,Human Resources & People Ops,11-3121,3,Healthcare & Life Sciences,20.9
4,Human Resources & People Ops,11-3121,4,Law Firms & Legal Services,2.0
4,Human Resources & People Ops,11-3121,5,Management Consulting Firms,9.3
4,Human Resources & People Ops,11-3121,6,Accounting & Tax Firms,4.5
4,Human Resources & People Ops,11-3121,7,Advertising & PR Agencies,2.7
4,Human Resources & People Ops,11-3121,8,Staffing & Recruitment Agencies,10.9
4,Human Resources & People Ops,11-3121,9,Real Estate & Property,2.4
4,Human Resources & People Ops,11-3121,10,Education & Academia,5.7
4,Human Resources & People Ops,11-3121,11,Government & Public Administration,7.2
4,Human Resources & People Ops,11-3121,12,Media Publishing & Entertainment,1.9
4,Human Resources & People Ops,11-3121,13,Energy & Utilities,1.1
4,Human Resources & People Ops,11-3121,14,Architecture & Engineering Firms,6.1
4,Human Resources & People Ops,11-3121,15,Manufacturing,14.4
4,Human Resources & People Ops,11-3121,16,Retail Trade,1.1
4,Human Resources & People Ops,11-3121,17,Construction,3.3
4,Human Resources & People Ops,11-3121,18,Transportation & Warehousing,4.4
4,Human Resources & People Ops,11-3121,19,Wholesale Trade,8.4
4,Human Resources & People Ops,11-3121,20,Accommodation & Food Services,3.6
4,Human Resources & People Ops,13-1071,1,Finance & Financial Services,52.3
4,Human Resources & People Ops,13-1071,2,Technology & Software,61.6
4,Human Resources & People Ops,13-1071,3,Healthcare & Life Sciences,82.1
4,Human Resources & People Ops,13-1071,4,Law Firms & Legal Services,6.3
4,Human Resources & People Ops,13-1071,5,Management Consulting Firms,38.5
4,Human Resources & People Ops,13-1071,6,Accounting & Tax Firms,18.2
4,Human Resources & People Ops,13-1071,7,Advertising & PR Agencies,12.1
4,Human Resources & People Ops,13-1071,8,Staffing & Recruitment Agencies,133.5
4,Human Resources & People Ops,13-1071,9,Real Estate & Property,10.9
4,Human Resources & People Ops,13-1071,10,Education & Academia,16.9
4,Human Resources & People Ops,13-1071,11,Government & Public Administration,61.7
4,Human Resources & People Ops,13-1071,12,Media Publishing & Entertainment,4.9
4,Human Resources & People Ops,13-1071,13,Energy & Utilities,3.0
4,Human Resources & People Ops,13-1071,14,Architecture & Engineering Firms,25.7
4,Human Resources & People Ops,13-1071,15,Manufacturing,46.7
4,Human Resources & People Ops,13-1071,16,Retail Trade,19.8
4,Human Resources & People Ops,13-1071,17,Construction,20.0
4,Human Resources & People Ops,13-1071,18,Transportation & Warehousing,24.8
4,Human Resources & People Ops,13-1071,19,Wholesale Trade,26.8
4,Human Resources & People Ops,13-1071,20,Accommodation & Food Services,12.3
4,Human Resources & People Ops,13-1075,1,Finance & Financial Services,2.1
4,Human Resources & People Ops,13-1075,2,Technology & Software,0.5
4,Human Resources & People Ops,13-1075,3,Healthcare & Life Sciences,2.2
4,Human Resources & People Ops,13-1075,5,Management Consulting Firms,0.2
4,Human Resources & People Ops,13-1075,6,Accounting & Tax Firms,0.1
4,Human Resources & People Ops,13-1075,8,Staffing & Recruitment Agencies,0.2
4,Human Resources & People Ops,13-1075,10,Education & Academia,0.3
4,Human Resources & People Ops,13-1075,11,Government & Public Administration,1.3
4,Human Resources & People Ops,13-1075,13,Energy & Utilities,0.2
4,Human Resources & People Ops,13-1075,14,Architecture & Engineering Firms,0.3
4,Human Resources & People Ops,13-1075,15,Manufacturing,0.6
4,Human Resources & People Ops,13-1075,16,Retail Trade,0.1
4,Human Resources & People Ops,13-1075,17,Construction,0.5
4,Human Resources & People Ops,13-1075,18,Transportation & Warehousing,0.4
4,Human Resources & People Ops,13-1075,19,Wholesale Trade,0.1
4,Human Resources & People Ops,13-1075,20,Accommodation & Food Services,0.1
4,Human Resources & People Ops,13-1151,1,Finance & Financial Services,37.7
4,Human Resources & People Ops,13-1151,2,Technology & Software,33.4
4,Human Resources & People Ops,13-1151,3,Healthcare & Life Sciences,45.4
4,Human Resources & People Ops,13-1151,4,Law Firms & Legal Services,1.6
4,Human Resources & People Ops,13-1151,5,Management Consulting Firms,15.4
4,Human Resources & People Ops,13-1151,6,Accounting & Tax Firms,2.3
4,Human Resources & People Ops,13-1151,7,Advertising & PR Agencies,4.8
4,Human Resources & People Ops,13-1151,8,Staffing & Recruitment Agencies,8.9
4,Human Resources & People Ops,13-1151,9,Real Estate & Property,3.0
4,Human Resources & People Ops,13-1151,10,Education & Academia,10.9
4,Human Resources & People Ops,13-1151,11,Government & Public Administration,12.1
4,Human Resources & People Ops,13-1151,12,Media Publishing & Entertainment,1.0
4,Human Resources & People Ops,13-1151,13,Energy & Utilities,3.8
4,Human Resources & People Ops,13-1151,14,Architecture & Engineering Firms,7.5
4,Human Resources & People Ops,13-1151,15,Manufacturing,22.0
4,Human Resources & People Ops,13-1151,16,Retail Trade,11.4
4,Human Resources & People Ops,13-1151,17,Construction,3.7
4,Human Resources & People Ops,13-1151,18,Transportation & Warehousing,23.7
4,Human Resources & People Ops,13-1151,19,Wholesale Trade,15.5
4,Human Resources & People Ops,13-1151,20,Accommodation & Food Services,35.8
5,Marketing & Communications,11-2021,1,Finance & Financial Services,39.9
5,Marketing & Communications,11-2021,2,Technology & Software,53.7
5,Marketing & Communications,11-2021,3,Healthcare & Life Sciences,24.8
5,Marketing & Communications,11-2021,4,Law Firms & Legal Services,3.0
5,Marketing & Communications,11-2021,5,Management Consulting Firms,30.8
5,Marketing & Communications,11-2021,6,Accounting & Tax Firms,4.7
5,Marketing & Communications,11-2021,7,Advertising & PR Agencies,20.3
5,Marketing & Communications,11-2021,8,Staffing & Recruitment Agencies,6.7
5,Marketing & Communications,11-2021,9,Real Estate & Property,6.1
5,Marketing & Communications,11-2021,10,Education & Academia,6.6
5,Marketing & Communications,11-2021,11,Government & Public Administration,0.4
5,Marketing & Communications,11-2021,12,Media Publishing & Entertainment,8.6
5,Marketing & Communications,11-2021,13,Energy & Utilities,1.5
5,Marketing & Communications,11-2021,14,Architecture & Engineering Firms,10.7
5,Marketing & Communications,11-2021,15,Manufacturing,17.2
5,Marketing & Communications,11-2021,16,Retail Trade,4.6
5,Marketing & Communications,11-2021,17,Construction,5.2
5,Marketing & Communications,11-2021,18,Transportation & Warehousing,3.9
5,Marketing & Communications,11-2021,19,Wholesale Trade,35.8
5,Marketing & Communications,11-2021,20,Accommodation & Food Services,3.5
5,Marketing & Communications,13-1161,1,Finance & Financial Services,88.3
5,Marketing & Communications,13-1161,2,Technology & Software,104.3
5,Marketing & Communications,13-1161,3,Healthcare & Life Sciences,52.1
5,Marketing & Communications,13-1161,4,Law Firms & Legal Services,7.6
5,Marketing & Communications,13-1161,5,Management Consulting Firms,96.3
5,Marketing & Communications,13-1161,6,Accounting & Tax Firms,6.9
5,Marketing & Communications,13-1161,7,Advertising & PR Agencies,54.6
5,Marketing & Communications,13-1161,8,Staffing & Recruitment Agencies,16.1
5,Marketing & Communications,13-1161,9,Real Estate & Property,20.3
5,Marketing & Communications,13-1161,10,Education & Academia,14.8
5,Marketing & Communications,13-1161,11,Government & Public Administration,3.0
5,Marketing & Communications,13-1161,12,Media Publishing & Entertainment,19.5
5,Marketing & Communications,13-1161,13,Energy & Utilities,2.9
5,Marketing & Communications,13-1161,14,Architecture & Engineering Firms,24.4
